address,cars,bluecarcounter,utilibcounter,utilib1.4counter,chargeslots,chargingstatus,city,id,slots,stationtype,year,month,day,hour,minute
41 Boulevard Bourdon,0,0,0,0,0,,Paris,paris-bourdon-41,4,full_station,2018,4,1,7,55
10 Rue Sadi Carnot,2,2,0,0,0,,AsniÃ¨res-sur-Seine,asnieressurseine-sadicarnot-10,0,station,2018,4,5,23,23
171 Rue de la Convention,3,3,0,0,0,,Paris,paris-convention-171,0,station,2018,4,7,10,58
4 Rue Lobau,0,0,0,0,0,,Paris,paris-lobau-parking,4,station,2018,4,6,7,9
17 boulevard Saint-Martin,0,0,0,0,0,,Paris,paris-saintmartin-17,2,station,2018,4,8,11,48
51 avenue Karl Marx,4,4,0,0,0,,Villejuif,villejuif-karlmarx-51,1,station,2018,4,5,6,2
61 Boulevard Ãmile Zola,6,6,0,0,0,,Nanterre,nanterre-emilezola-61,0,station,2018,4,5,5,7
10 Rue du Ranelagh,1,1,0,0,0,,Paris,paris-ranelagh-10,5,station,2018,4,7,6,55
24 Avenue d'IÃ©na,0,0,0,0,0,,Paris,paris-iena-24,4,station,2018,4,1,6,20
56 Rue La Fayette,3,3,0,0,0,,Paris,paris-lafayette-56,1,station,2018,4,6,12,19
204 rue dâEstienne dâOrves,1,1,0,0,0,,VerriÃ¨res-le-Buisson,verriereslebuisson-destiennedorves-204,6,station,2018,4,6,13,40
1 rue Claude Terrasse,1,1,0,0,0,,Le Blanc-Mesnil,leblancmesnil-claudeterrasse-1,5,station,2018,4,3,3,48
231 rue des PyrÃ©nÃ©es,2,2,0,0,0,,Paris,paris-pyrenees-231,1,station,2018,4,3,7,43
116 rue RÃ©aumur,0,0,0,0,0,,Paris,paris-reaumur-116,0,station,2018,4,3,18,29
11 rue Gerbert,5,5,0,0,0,,Paris,paris-gerbert-11,0,station,2018,4,4,23,50
126 rue de Colombes,1,1,0,0,0,,La Garenne-Colombes,lagarennecolombes-colombes-126,6,station,2018,4,1,9,58
94 Rue Paul Vaillant Couturier,6,6,0,0,0,,Nanterre,nanterre-paulvaillantcouturier-94,0,station,2018,4,4,7,23
7 Rue Pruvot,0,0,0,0,0,,Vanves,vanves-pruvot-7,0,station,2018,4,4,8,51
3 rue de Vaugirard,1,1,0,0,0,,Paris,paris-vaugirard-3,2,station,2018,4,3,20,34
98 boulevard Murat,5,5,0,0,0,,Paris,paris-murat-98,0,station,2018,4,5,17,7
139 boulevard de Grenelle,6,6,0,0,0,,Paris,paris-grenelle-139,0,station,2018,4,1,21,46
1 rue de Chanaleilles,3,3,0,0,0,,Paris,paris-chanaleilles-1,1,station,2018,4,9,16,51
2 rue de la Coussaye,2,2,0,0,0,,Enghien-les-Bains,enghienlesbains-coussaye-2,3,station,2018,4,3,11,18
2 rue de la RÃ©publique,6,6,0,0,0,,Montreuil,montreuil-republique-2,1,station,2018,4,3,13,48
35 rue Mathis,0,0,0,0,0,,Paris,paris-mathis-35,4,station,2018,4,1,0,32
3 boulevard du Couchant,6,6,0,0,0,,Nanterre,nanterre-couchant-3,0,station,2018,4,4,6,40
47 rue de la Grange aux Belles,3,3,0,0,0,,Paris,paris-grangeauxbelles-47,2,station,2018,4,6,1,31
81 avenue Ãdouard Vaillant,2,2,0,0,0,,Boulogne-Billancourt,boulognebillancourt-edouardvaillant-81,1,station,2018,4,8,18,41
280 avenue Jean JaurÃ¨s,0,0,0,0,0,,ChÃ¢tenay-Malabry,chatenaymalabry-jeanjaures-280,0,station,2018,4,9,0,50
33 rue Crozatier,0,0,0,0,0,,Paris,paris-crozatier-33,0,station,2018,4,5,6,8
34 avenue du CimetiÃ¨re Parisien,0,0,0,0,0,,Pantin,pantin-cimetiereparisien-34,0,station,2018,4,8,22,38
6 rue de Paris,1,1,0,0,0,,Meudon,meudon-paris-6,1,station,2018,4,9,9,29
4 Rue Croix des Petits Champs,0,0,0,0,0,,Paris,paris-croixdespetitschamps-4,3,station,2018,4,8,13,57
3 avenue Paul Doumer,5,5,0,0,0,,Rueil-Malmaison,rueilmalmaison-pauldoumer-3,0,station,2018,4,2,12,48
22 Voie au Lard,7,7,0,0,0,,Rungis,rungis-lard-22,0,station,2018,4,1,17,35
22 rue de Normandie,6,6,0,0,0,,AsniÃ¨res-sur-Seine,asnieressurseine-normandie-22,0,station,2018,4,2,11,18
236 Rue des PyrÃ©nÃ©es,6,6,0,0,0,,Paris,paris-pyrenees-236,0,station,2018,4,3,6,33
26 rue HuchÃ©,6,6,0,0,0,,Suresnes,suresnes-huche-26,0,station,2018,4,4,8,28
42 Rue Victor Hugo,6,6,0,0,0,,Colombes,colombes-victorhugo-42,0,station,2018,4,5,5,4
52 Boulevard de la RÃ©publique,4,4,0,0,0,,La Garenne-Colombes,lagarennecolombes-republique-52,0,full_station,2018,4,8,11,55
199 Rue du Faubourg Saint-Antoine,3,3,0,0,0,,Paris,paris-faubourgsaintantoine-199,1,full_station,2018,4,9,9,22
51 Rue de Bretagne,0,0,0,0,0,,Paris,paris-bretagne-51,1,full_station,2018,4,8,0,38
8 rue des Chantiers,2,2,0,0,0,,Versailles,versailles-chantiers-8,3,full_station,2018,4,9,7,42
19 Rue des Filles du Calvaire,4,4,0,0,0,,Paris,paris-fillesducalvaire-19,1,station,2018,4,3,13,57
108 Rue Jouffroy d'Abbans,2,2,0,0,0,,Paris,paris-jouffroydabbans-108,3,station,2018,4,2,7,28
39 rue Julien Lacroix,6,6,0,0,0,,Paris,paris-julienlacroix-39,0,station,2018,4,3,3,1
8 rue Goubet,5,5,0,0,0,,Paris,paris-goubet-8,0,station,2018,4,8,23,47
56 Rue des Plantes,2,2,0,0,0,,Paris,paris-plantes-56,1,station,2018,4,5,9,46
192 avenue Pierre Brossolette,2,2,0,0,0,,Malakoff,malakoff-pierrebrossolette-192,3,station,2018,4,4,8,3
280 avenue Jean JaurÃ¨s,0,0,0,0,0,,ChÃ¢tenay-Malabry,chatenaymalabry-jeanjaures-280,0,station,2018,4,9,21,31
26 rue Claude Decaen,6,6,0,0,0,,Paris,paris-claudedecaen-26,0,station,2018,4,5,22,26
80 Rue de Dantzig,4,4,0,0,0,,Paris,paris-dantzig-80,2,station,2018,4,4,6,19
65 rue Ordener,6,6,0,0,0,,Paris,paris-ordener-65,0,station,2018,4,3,3,14
236 Avenue Henri Barbusse,0,0,0,0,0,,Drancy,drancy-henribarbusse-236,4,station,2018,4,9,18,17
236 Avenue Henri Barbusse,0,0,0,0,0,,Drancy,drancy-henribarbusse-236,4,station,2018,4,5,11,21
1 rue Croulebarbe,3,3,0,0,0,,Paris,paris-croulebarbe-1,1,station,2018,4,7,22,7
102 Rue Juliette Savar,3,3,0,0,0,,CrÃ©teil,creteil-juliettesavar-102,2,station,2018,4,4,22,1
1 rue AndrÃ© Theuriet,2,2,0,0,0,,Bourg-la-Reine,bourglareine-andretheuriet-1,4,full_station,2018,4,9,21,48
56 boulevard du MarÃ©chal Foch,1,1,0,0,0,,VerriÃ¨res-le-Buisson,verriereslebuisson-marechalfoch-56,6,station,2018,4,4,3,7
64 rue du Faubourg PoissonniÃ¨re,1,1,0,0,0,,Paris,paris-faubourgpoissoniere-64,0,station,2018,4,9,9,41
22 bis rue Legendre,0,0,0,0,0,,Paris,paris-legendre-22,4,station,2018,4,7,8,26
8 rue Waldeck Rochet,4,4,0,0,0,,Nanterre,nanterre-waldeckrochet-8,0,station,2018,4,8,11,19
15 rue Olier,5,5,0,0,0,,Paris,paris-olier-15,1,station,2018,4,7,4,34
1 avenue Philippe Auguste,5,5,0,0,0,,Paris,paris-philippeauguste-1,0,station,2018,4,5,19,59
12 avenue de la gare,0,0,0,0,0,,BiÃ¨vres,bievres-gare-12,0,station,2018,4,9,5,39
39 rue du Port Ã  l'Anglais,4,4,0,0,0,,Alfortville,alfortville-portalanglais-39,1,station,2018,4,9,17,12
15 Rue de Verdun,1,1,0,0,0,,Suresnes,suresnes-verdun-15,4,full_station,2018,4,1,7,12
48 Avenue de Saint-MandÃ©,0,0,0,0,0,,Paris,paris-saintmande-48,4,station,2018,4,1,16,3
199 Rue du Faubourg Saint-Antoine,0,0,0,0,0,,Paris,paris-faubourgsaintantoine-199,3,full_station,2018,4,8,2,26
127 Quai de Stalingrad,5,5,0,0,0,,Issy-les-Moulineaux,issylesmoulineaux-stalingrad-127,0,station,2018,4,9,2,54
26 villa Croix-Nivert,3,3,0,0,0,,Paris,paris-cambronne-parking,3,station,2018,4,8,3,44
2 avenue FranÃ§ois Mauriac,4,4,0,0,0,,CrÃ©teil,creteil-francoismauriac-2,2,station,2018,4,3,6,3
139 boulevard de Grenelle,6,6,0,0,0,,Paris,paris-grenelle-139,0,station,2018,4,2,1,0
22 avenue Danielle Casanova,1,1,0,0,0,,Champigny-sur-Marne,champignysurmarne-daniellecasanova-22,5,station,2018,4,4,4,0
65 Avenue Ãmile Zola,2,2,0,0,0,,Paris,paris-emilezola-65,0,station,2018,4,7,12,7
1 Rue Legrand,2,2,0,0,0,,Malakoff,malakoff-legrand-1,3,station,2018,4,1,21,7
44 rue Paul Barruel,5,5,0,0,0,,Paris,paris-paulbarruel-44,1,station,2018,4,3,5,53
2 rue Joseph Marie Jacquard,0,0,0,0,0,,Aulnay-sous-bois,aulnaysousbois-josephmariejacquard-2,0,station,2018,4,3,16,31
3 avenue Lavoisier,0,0,0,0,0,,Rueil-Malmaison,rueilmalmaison-lavoisier-3,4,station,2018,4,2,12,18
24 rue des Cheminots,1,1,0,0,0,,Saint-Denis,saintdenis-cheminots-24,6,station,2018,4,7,7,33
2 Avenue LeÌon Blum,5,5,0,0,0,,Le Plessis-Robinson,leplessisrobinson-leonblum-2,1,full_station,2018,4,7,11,49
11 rue Marguerite Long,0,0,0,0,0,,Paris,paris-margueritelong-11,5,station,2018,4,9,20,10
82 rue de CrimÃ©e,1,1,0,0,0,,Paris,paris-crimee-82,3,station,2018,4,2,18,9
36 Avenue Carnot,2,2,0,0,0,,Cachan,cachan-carnot-36,5,station,2018,4,8,1,18
169 avenue Gabriel PÃ©ri,0,0,0,0,0,,Gennevilliers,gennevilliers-gabrielperi-169,0,full_station,2018,4,8,19,26
65 boulevard de Picpus,6,6,0,0,0,,Paris,paris-picpusnation-parking,0,station,2018,4,3,6,34
120 boulevard Gabriel PÃ©ri,5,5,0,0,0,,Malakoff,malakoff-gabrielperi-120,2,station,2018,4,3,2,36
2 rue des Couronnes,1,1,0,0,0,,Paris,paris-couronnes-2,3,station,2018,4,2,7,48
59 boulevard Gallieni,3,3,0,0,0,,Issy-les-Moulineaux,issylesmoulineaux-gallieni-59,3,station,2018,4,5,18,16
65 Avenue Lenine,3,3,0,0,0,,Nanterre,nanterre-lenine-65,3,station,2018,4,4,21,1
21 rue Fernand Braudel,0,0,0,0,0,,Paris,paris-fernandbraudel-21,3,station,2018,4,6,19,55
61 Boulevard Haussmann,3,3,0,0,0,,Paris,paris-haussmann-61,0,station,2018,4,3,13,2
162 rue Championnet,5,5,0,0,0,,Paris,paris-championnet-162,0,station,2018,4,9,23,1
1 Rue Jules Romains,4,4,0,0,0,,Paris,paris-julesromains-1,1,full_station,2018,4,9,11,59
58 avenue Dutartre,5,5,0,0,0,,Le Chesnay,lechesnay-dutartre-58,1,station,2018,4,2,16,28
46 Rue du GÃ©nÃ©ral Leclerc,0,0,0,0,0,,Issy-les-Moulineaux,issylesmoulineaux-generalleclerc-46,0,full_station,2018,4,6,18,42
61 boulevard Saint-Jacques,0,0,0,0,0,,Paris,paris-saintjacques1-parking,0,station,2018,4,2,12,0
68 rue de la Bonne Aventure,7,7,0,0,0,,Versailles,versailles-bonneaventure-68,0,station,2018,4,1,5,9
94 avenue de Saint-MandÃ©,3,3,0,0,0,,Paris,paris-saintmande-94,3,station,2018,4,7,19,37
